,Company,MarketValue,Revenue,Profits,Assets,Rank,Sector,Industry,Continent,Country,Headquarters,State,CEO,ForbesWebpage,ProfitsPerAsset,ProfitPerRevenue,CountryCode,Latitude,Longitude
83,MetLife,43.38399999999999,66.855,5.122999999999999,692.53,84,Financials,Diversified Insurance,North America,United States,New York,New York,Steven A. Kandarian,http://www.forbes.com/companies/metlife/,0.0073975134651206404,0.0766285244185177,US,38.8895,-77.032
84,AXA Group,63.602,139.662,2.2159999999999997,1034.487,85,Financials,Diversified Insurance,Europe,France,France,,Thomas Buberl,http://www.forbes.com/companies/axa-group/,0.0021421245506226803,0.0158668786069224,FR,48.8566,2.35097
85,PepsiCo,178.157,64.983,12.585,75.46600000000001,86,Consumer Staples,Beverages,North America,United States,New York,New York,Ramon Laguarta,http://www.forbes.com/companies/pepsico/,0.16676384066997102,0.193666035732422,US,38.8895,-77.032
86,Bank of Nova Scotia,67.077,32.366,6.447,787.545,87,Financials,Major Banks,North America,Canada,Canada,,Brian Porter,http://www.forbes.com/companies/bank-of-nova-scotia/,0.0081861988838733,0.19919050855836398,CA,45.4215,-75.6919
87,Roche Holding,222.048,58.085,10.729000000000001,79.648,88,Health Care,Pharmaceuticals,Europe,Switzerland,Switzerland,,Severin Schwan,http://www.forbes.com/companies/roche-holding/,0.13470520289272803,0.184712059912198,CH,46.948,7.44821
88,ING Group,52.699,39.361999999999995,5.547999999999999,1014.008,89,Financials,Major Banks,Europe,Netherlands,Netherlands,,Ralph Hamers,http://www.forbes.com/companies/ing-group/,0.00547135722795086,0.14094812255474803,NL,52.3738,4.89095
89,Lloyds Banking Group,60.895,35.242,5.3,1015.821,90,Financials,Major Banks,Europe,United Kingdom,United Kingdom,,António Horta-Osório,http://www.forbes.com/companies/lloyds-banking-group/,0.0052174546499826205,0.15038874070711097,GB,51.5002,-0.126236
90,Eni,62.483000000000004,89.43700000000001,4.986000000000001,139.529,91,Energy,Oil & Gas Operations,Europe,Italy,Italy,,Claudio Descalzi,http://www.forbes.com/companies/eni/,0.0357345068050369,0.055748739336069005,IT,41.8955,12.4823
91,Oracle,186.33,39.62,10.751,109.43799999999999,92,Information Technology,Software & Programming,North America,United States,California,California,Mark Hurd,http://www.forbes.com/companies/oracle/,0.0982382718982437,0.271352852094902,US,38.8895,-77.032
92,China Citic Bank,42.941,45.582,6.782,883.6260000000001,93,Financials,Regional Banks,Asia,China,China,,Qing Guan,http://www.forbes.com/companies/china-citic-bank/,0.007675192898352921,0.148786801807731,CN,40.0495,116.286
93,China Evergrande Group,42.495,71.69800000000001,5.797000000000001,273.829,94,Financials,Real Estate,Asia,China,China,,Hai Xia,http://www.forbes.com/companies/china-evergrande-group/,0.0211701463322,0.0808530223995091,CN,40.0495,116.286
94,UBS,48.964,42.903999999999996,4.84,958.4889999999999,95,Financials,Major Banks,Europe,Switzerland,Switzerland,,Sergio Ermotti,http://www.forbes.com/companies/ubs/,0.005049614549567079,0.11280999440611598,CH,46.948,7.44821
95,AIRBUS,104.87299999999999,75.158,3.603,131.689,96,Industrials,Aerospace & Defense,Europe,Netherlands,Netherlands,,Guillaume Faury,http://www.forbes.com/companies/airbus/,0.0273599161661187,0.0479390084887836,NL,52.3738,4.89095
96,LukOil,61.103,127.914,9.856,82.632,97,Energy,Oil & Gas Operations,Asia,Russia,Russia,,Vagit Alekperov,http://www.forbes.com/companies/lukoil/,0.11927582534611302,0.0770517691574026,RU,55.7558,37.6176
97,Prudential Financial,42.397,61.266000000000005,4.024,815.078,98,Financials,Life & Health Insurance,North America,United States,New Jersey,New Jersey,John Strangfeld,http://www.forbes.com/companies/prudential-financial/,0.00493695081943078,0.065680801749747,US,38.8895,-77.032
98,BASF,76.584,76.235,5.553,103.775,99,Materials,Diversified Chemicals,Europe,Germany,Germany,,Martin Brudermüller,http://www.forbes.com/companies/basf/,0.0535099975909419,0.0728405587984522,DE,52.5235,13.4115
